0,1,2
0.5,0.55,17
0.55,0.6000000000000001,28
0.6,0.65,25
0.65,0.7000000000000001,30
0.7,0.75,26
0.75,0.8,41
0.8,0.8500000000000001,47
0.8500000000000001,0.9000000000000001,91
0.9,0.9500000000000001,142
0.95,1.0,362
1.0,1.05,485
1.05,1.1,406
1.1,1.1500000000000001,279
1.15,1.2000000000000002,264
1.2000000000000002,1.25,209
1.25,1.3,147
1.3,1.35,145
1.35,1.4000000000000001,124
1.4,1.4500000000000002,70
1.4500000000000002,1.5,66
1.5,1.55,66
1.55,1.6,50
1.6,1.6500000000000001,44
1.6500000000000001,1.7000000000000002,46
1.7000000000000002,1.7500000000000002,39
1.75,1.8,30
1.8,1.85,24
1.85,1.9000000000000001,24
1.9000000000000001,1.9500000000000002,21
1.9500000000000002,2.0,17
2.0,2.05,13
2.05,2.1,13
2.1,2.1500000000000004,4
2.1500000000000004,2.2,9
2.2,2.25,8
2.25,2.3,10
2.3,2.35,4
2.35,2.4000000000000004,4
2.4000000000000004,2.45,4
2.45,2.5,6
